proj,agent,model,turns,tok,out,reads,dup_before,dup_after,final,mins
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadSearle2,claude-opus-5,35,5083523,22651,4,0,1,2146,7.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RegisterPp11to19,claude-opus-5,38,5072841,44501,3,2,1,4943,9.9
-Code-ChessBot,AdrIndexBranches,claude-opus-5,47,5064416,29850,9,1,0,5589,6.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AlternativesReview,gpt-5.6-terra,55,5026035,14040,22,1,2,2753,7.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RegisterPp20to27,claude-opus-5,37,4951461,35937,3,1,1,4002,8.5
-Code-ChessBot,ConfirmationBudgetMath,claude-opus-5,48,4947353,93796,5,0,0,10770,29.1
-Code-ChessBot-worktrees-campaign-2800,ValidateArchClaims,claude-opus-5,46,4942818,70904,10,0,0,27113,13.9
-Code-ChessBot,ArenaRent,claude-fable-5-1,45,4931837,34941,7,1,0,2011,20.5
-Code-Agentic Obsidian Vault-Agentic-CareerMode,CorpusContext,claude-opus-5,25,4903836,71787,26,0,0,7630,16.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibD,claude-fable-5-1,43,4856103,14758,19,0,0,0,4.3
-Code-ChessBot,IIRProbeRepair,claude-opus-5,52,4852874,56520,2,0,0,7900,22.9
-Code-ChessBot,InfraScout,gpt-5.6-terra,54,4852042,8860,29,2,0,13650,5.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ParserReproAudit,claude-opus-5,42,4839934,40192,11,3,2,7739,8.6
-Code-ChessBot,GateCompiled,claude-fable-5-1,71,4791362,36772,3,2,0,6388,42.6
-Code-Trades,RobustSocpPR,gpt-5.6-sol,51,4742220,15742,12,0,0,291,17.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RegisterPp1to10,claude-opus-5,42,4722745,42754,3,1,1,2959,10.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AppendixAndReports,claude-opus-5,32,4703841,34987,12,9,1,2759,7.9
-Code-ChessBot,RatingsReview,claude-opus-5,41,4696663,78133,4,0,0,1475,24.8
-Code-ChessBot,ForkPool,claude-fable-5-1,51,4612494,39132,18,2,5,172,44.5
-Code-ChessBot,NpsRecovery,claude-fable-5,47,4605886,49656,8,1,0,1636,153.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FactSheetsEstimand,claude-fable-5-1,43,4558389,54804,14,0,1,443,14.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,figrnd-1,claude-fable-5-1,50,4542145,42211,12,0,1,268,9.1
-Code-ChessBot,LaneTodayPush,claude-opus-5,44,4508442,51703,15,2,0,1709,13.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,goalmode-doc,gpt-5.6-terra,50,4447975,10983,20,2,1,336,5.1
-Code-ChessBot,main-chat-proposal-review,gpt-6-astra,58,4407134,18351,17,5,2,971,52.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CoverageAudit,claude-opus-5,54,4390015,56301,2,0,0,3562,27.4
-Code-Agentic Obsidian Vault-Agentic-dissertation,VoiceMiner,claude-fable-5,39,4386084,40585,6,0,0,1533,10.7
-Code-ChessBot,ReviewLabelStockfish,claude-fable-5-1,48,4373156,63887,5,0,2,163,18.1
-Code-ChessBot,LaneFieldContext,claude-opus-5,45,4361620,63206,7,2,0,2384,14.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,figrnd-2,claude-fable-5-1,29,4352223,44427,14,1,1,768,9.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PyLatexBridges,gpt-5.6-terra,48,4349261,10253,38,0,0,21376,6.5
-Code-ChessBot,JudgeHardening,claude-fable-5,41,4329559,92438,10,0,0,2624,21.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3R1Dispositions,claude-fable-5-1,35,4301404,90063,8,4,1,3162,17.8
-Code-ChessBot,ReviewFieldEstimate,claude-fable-5,33,4266726,40444,2,0,0,5685,9.5
-Code-PokerBot,DrawTestRewrite,claude-fable-5-1,43,4265891,50245,4,2,0,4709,15.3
-Code-Agentic Obsidian Vault-Agentic-dissertation,LitBuilder,gpt-5.6-terra,49,4257974,21872,37,0,0,20835,9.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProtocolMachinery,gpt-5.6-terra,58,4251499,17314,28,0,1,23741,4.7
-Code-ChessBot,OracleExportCliPort,claude-fable-5-1,38,4246808,52436,5,1,0,4667,11.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,EndpointProvenance,gpt-5.6-sol,51,4244739,24144,20,4,2,698,10.1
-Code-ChessBot,ReviewArchetypes,claude-fable-5,43,4237339,44205,15,0,0,2504,10.2
-Code-ChessBot,LaneMiskeen,claude-opus-5,44,4215454,49796,10,2,0,3130,14.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,CutValueAssessment,claude-opus-5,30,4203253,28166,22,1,0,1417,7.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle002Logic,gpt-5.6-sol,58,4190801,32197,24,3,0,0,17.4
-Code-ChessBot,ladder-draw-replay,claude-opus-5,46,4176887,37251,9,0,0,3664,13.7
-Code-ChessBot,OfficialLadder,claude-opus-5,53,4160687,34584,19,0,0,2922,31.4
-Code-Trades,QuotedVARAnecdote,gpt-5.6-terra,61,4134414,9965,33,3,2,10300,9.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle003Finance,gpt-5.6-sol,47,4132424,24706,20,2,0,1702,15.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MathematicsGenerator,gpt-5.6-sol,57,4104717,39439,18,1,0,1654,20.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibA2,claude-opus-5,34,4102311,35717,8,0,0,6490,8.1
-Code-ChessBot,DashboardView,claude-opus-5,49,4084244,54208,3,1,0,3284,11.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2B,claude-fable-5-1,37,4081893,11309,14,1,0,0,4.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadStatsA,claude-fable-5-1,38,4069456,13774,35,0,1,0,4.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ch1-text-audit,gpt-5.6-terra,48,4049296,14972,10,0,0,4609,6.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadStatsA2,claude-opus-5,28,4040212,41711,48,0,0,4079,9.1
-Code-ChessBot,ConcurrencyReview,gpt-5.6-sol,49,4027492,19667,8,2,7,577,11.7
-Code-ChessBot,LaneDarkSister,claude-opus-5,38,4012247,51291,7,2,0,1638,13.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibA,claude-fable-5-1,45,4010657,10437,10,0,0,0,4.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibC,claude-fable-5-1,38,3992270,7007,19,0,0,0,3.9
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutScaleupsA,gpt-5.6-terra,40,3982173,8009,19,0,0,11543,6.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DataOnDisk,gpt-5.6-terra,51,3977984,16976,19,1,0,27931,3.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2C,claude-fable-5-1,34,3975490,7387,13,0,0,0,2.8
-Code-Trades,RepoScout,gpt-5.6-terra,36,3964387,8807,20,0,0,19122,2.0
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutMaterials,gpt-5.6-terra,38,3960453,9617,25,0,0,13788,8.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ExternalVerifier,gpt-5.6-terra,40,3955264,8670,23,2,7,14624,7.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FinalValidity,claude-opus-5,33,3948292,51106,11,7,0,80,15.1
-Code-Agentic Obsidian Vault-Agentic-dissertation,FigureCritic,claude-fable-5,38,3934009,58948,7,0,0,941,46.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,BristolExaminer,gpt-5.6-sol,33,3913514,17759,23,3,3,321,6.4
-Code-PokerBot,OurBotScout,gpt-5.6-terra,55,3910458,9356,40,1,0,11216,5.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2A,claude-fable-5-1,29,3842846,13848,8,1,1,0,3.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadStatsB2,claude-opus-5,29,3839351,32693,16,0,0,1659,8.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReproNovelty,claude-opus-5,47,3837944,58994,4,0,0,8808,12.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ResultsTrim,claude-opus-5,31,3802607,51412,22,1,0,3651,10.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,InstrumentTrim,claude-opus-5,28,3777534,52690,10,1,0,3672,10.5
-Code-ChessBot,OffhostEvidence,claude-opus-5,45,3717516,43797,5,2,0,3075,10.8
-Code-ChessBot,TrackANetV2Finish,claude-opus-5,40,3712069,57517,6,0,0,9517,67.0
-Code-ChessBot,ReviewStats,claude-fable-5,35,3683940,50823,11,0,1,5072,11.6
-Code-FPL,ModelFetchers,claude-opus-5,51,3666624,31369,5,0,0,5194,7.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadSearle,claude-fable-5-1,33,3662786,8195,12,0,1,0,4.4
-Code-ChessBot,TimeMgmt,claude-fable-5-1,53,3656681,32194,6,0,0,3609,19.9
-Code-ChessBot,LaneRataturing,claude-opus-5,43,3643222,41605,7,1,0,3176,14.3
-Code-ChessBot-worktrees-campaign-2800,AuditRetrospective,claude-opus-5,39,3626223,49114,6,0,0,21666,8.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MethodSourceAudit,claude-opus-5,32,3616896,26180,6,3,1,933,7.5
-Code-Agentic Obsidian Vault-Agentic-CareerMode,CorpusAidenTech,claude-opus-5,32,3575351,29798,6,0,0,4352,7.1
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutAcademicPIs,gpt-5.6-terra,30,3537737,9423,17,0,0,21496,6.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MethodsCitations,gpt-5.6-terra,71,3533130,16440,41,0,1,4150,14.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DissertationMapper,gpt-5.6-terra,35,3524933,6794,15,0,3,135,2.9
-Code-ChessBot,SwissSim,claude-opus-5,36,3519714,73818,7,0,0,8316,16.2
-Code-ChessBot,ExactZipCompliance,gpt-5.6-sol,56,3514241,46681,19,7,5,1303,16.3
-Code-ChessBot,reviewrules,claude-fable-5-1,39,3512655,38074,18,2,1,11049,7.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LomoPinning,gpt-5.6-sol,45,3508198,18847,11,4,4,855,8.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DesignSchematic,claude-fable-5-1,33,3493019,56119,10,0,0,6870,11.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch2ExpansionFacts,gpt-5.6-terra,37,3492180,21544,17,1,1,2216,13.1
-Code-ChessBot,PlayAggregates,claude-fable-5-1,47,3490799,37696,1,0,0,1277,10.4
-Code-ChessBot,DecisionSplit,claude-opus-5,30,3484183,53494,3,1,0,10389,11.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MemoExtend,claude-fable-5-1,37,3475443,43767,10,2,0,2244,7.6
-Code-ChessBot,ReleaseRecords,claude-opus-5,39,3441315,44086,4,0,0,9905,8.7
-Code-ChessBot,NetcupSpecs,gpt-5.6-terra,31,3376767,7280,11,2,1,5504,6.1
-Code-ChessBot,AdmissionBudgetMath,claude-opus-5,31,3328171,104096,3,0,0,6808,22.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibB,claude-fable-5-1,28,3323280,12905,6,0,0,0,4.4
-Code-ChessBot,patch-origins,claude-opus-5,36,3317670,25275,12,2,0,1750,6.5
-Code-Agentic Obsidian Vault-Agentic-CareerMode,ScoutScaleupsB,gpt-5.6-terra,29,3297188,7104,16,0,0,14628,5.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LaneB1,claude-fable-5-1,34,3296299,28786,9,0,0,2792,6.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VisualHistory,claude-opus-5,27,3295066,30533,22,5,1,2476,6.7
-Code-ChessBot,DisclosureAudit,claude-opus-5,39,3282252,40877,8,0,0,30199,6.8
-Code-ChessBot,DayOneNet,claude-fable-5,37,3270621,50316,13,0,0,1142,12.2
-Code-PokerBot,CompetitorScout,gpt-5.6-terra,47,3247101,7909,37,3,1,11141,4.2
-Code-ChessBot,TrackBScout,gpt-5.6-terra,41,3239522,10756,24,0,0,15984,3.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,NoveltyHistory,gpt-5.6-terra,41,3232869,12225,27,0,0,1710,7.6
-Code-ChessBot-worktrees-campaign-2800,ClockOracle,claude-opus-5,39,3213904,39286,5,1,0,5234,29.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch1CitationRead,claude-opus-5,17,3196560,19627,10,2,0,29500,2.1
-Code-Trades,EB2Trace,gpt-5.6-terra,38,3195578,13514,16,2,0,5305,5.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ComplianceAudit,claude-fable-5,34,3186005,32056,8,1,0,2040,11.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoMechanic,gpt-5.6-terra,37,3159309,8260,22,0,0,22410,6.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HistoryIntegrator,gpt-5.6-sol,39,3123742,41255,21,1,1,1678,13.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SkillRegistries,gpt-5.6-terra,38,3102226,8452,31,0,0,18599,4.6
-Code-ChessBot,RunbookMapper,gpt-5.6-terra,45,3080087,14879,22,0,13,61,7.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MpstDataCard,gpt-5.6-sol,42,3065058,29583,22,1,0,402,10.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,TikzSkills,gpt-5.6-terra,45,3049771,9832,37,0,0,21650,4.2
-Code-ChessBot,StopReasons,claude-fable-5-1,40,3039018,48997,6,0,0,1908,16.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,WithinSuiteAggregation,claude-fable-5,26,3035859,80435,9,1,0,3439,17.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,GoalRunInventory,gpt-5.6-terra,47,3013327,13835,32,0,0,26284,3.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FrozenInstruments,gpt-5.6-terra,34,2996373,16437,23,0,0,27849,3.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScienceGenerator,gpt-5.6-sol,52,2981951,33330,16,1,0,1366,17.4
-Code-Trades,CovarianceClusteringPR,gpt-5.6-sol,49,2954660,18375,14,0,0,430,18.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle004Science,gpt-5.6-sol,50,2953624,32826,16,3,0,1795,15.5
-Code-ChessBot,DepthS03,claude-opus-5,33,2931505,39786,5,0,0,4697,10.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LogicGenerator,gpt-5.6-sol,41,2912768,32725,19,1,0,1169,15.8
-Code-ChessBot,DepthS09,claude-opus-5,40,2907426,27896,3,0,0,3923,6.4
-Code-ChessBot,CandidateCompliance,claude-opus-5,38,2859802,40302,8,0,1,8809,8.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoWorkflowMap,gpt-5.6-terra,27,2851531,9981,12,0,0,115,7.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,PR24ForensicReview,claude-fable-5,34,2846760,46789,6,0,0,36,15.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HypothesisHistory,gpt-5.6-terra,29,2836483,7315,19,0,0,8235,2.0
-Code-ChessBot,BudgetLane,claude-opus-5,33,2817811,42077,5,4,0,1386,14.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RepoExperimentScout,gpt-5.6-terra,32,2816704,8308,9,0,0,13860,2.2
-Code-ChessBot,R30Conversion,claude-fable-5-1,40,2814363,33503,4,0,0,3077,10.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,AriaDocsScout,gpt-5.6-terra,29,2802747,10363,21,1,0,21576,5.9
-Code-ChessBot,FixRound4Confirm,claude-fable-5,23,2801165,90435,4,2,0,8657,18.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadCh2B2,claude-opus-5,20,2793137,34384,5,0,0,2805,7.9
-Code-ChessBot,SyzygyRim,claude-fable-5-1,33,2783925,43869,9,2,0,2425,11.5
-Code-ChessBot,CandidateArtifactAudit,gpt-5.6-terra,49,2778740,8069,33,3,2,8175,3.8
-Code-Agentic Obsidian Vault-Agentic-dissertation,ExemplarForensics,claude-fable-5,40,2776193,26906,3,0,0,2656,7.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Cycle001Math,gpt-5.6-sol,41,2770561,22475,13,2,1,772,11.5
-Code-ChessBot,reviewlegality,claude-fable-5-1,29,2743367,59871,15,2,1,10402,14.8
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,FormalHistory,gpt-5.6-terra,36,2741170,10303,14,0,0,0,7.6
--private-tmp--,ArenaExposureWorker,claude-opus-5,29,2730971,46980,4,1,0,6932,8.9
-Code-Trades,AMOTrace,gpt-5.6-terra,25,2725591,7570,11,2,0,4369,2.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,VoicePacket,claude-fable-5,24,2713739,51105,17,1,0,2809,10.3
-Code-Trades,HIP4ExecutionMechanics,gpt-5.6-terra,43,2685451,9801,33,2,3,18408,5.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ChapterOneSources,claude-opus-5,21,2683070,20570,9,2,1,25676,2.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,GoalRunsInventory,gpt-5.6-terra,43,2663898,16330,31,0,0,24186,3.9
-Code-ChessBot,ReviewSpeedGate,claude-fable-5-1,33,2657979,29408,8,3,3,223,11.7
-Code-PokerBot,ChessBotScout,gpt-5.6-terra,48,2653252,8250,27,4,0,10114,4.3
-Code-Trades,MemoEvidenceReview,gpt-5.6-sol,35,2613612,12807,13,10,1,0,5.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,B2aSensitivity,claude-fable-5,31,2607696,27250,10,1,0,2179,6.5
-Code-ChessBot,ControlReview,claude-opus-5,31,2595889,38817,8,4,4,53,8.8
-Code-Trades,IdentifyPaperJul17,gpt-5.6-terra,38,2541441,18397,14,2,1,916,15.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LocalConventions,gpt-5.6-terra,26,2489425,8091,13,1,0,21694,1.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch4FS4Robustness,claude-fable-5-1,22,2487060,42993,18,2,2,2845,8.2
-Code-Trades,DoubleShrinkagePR,gpt-5.6-sol,53,2486093,13181,11,1,0,414,23.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch4FS1Headline,claude-fable-5-1,23,2462155,44012,23,1,0,1938,9.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch1Editor,claude-fable-5,21,2424397,55682,4,1,1,3133,11.1
-Code-ChessBot,verifylying,claude-opus-5,30,2399887,40993,4,0,0,17110,7.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,HarnessHistory,gpt-5.6-terra,37,2396613,10433,18,1,3,73,7.6
-Code-ChessBot,DepthS19,claude-opus-5,34,2385944,34569,2,0,0,3845,7.2
-Code-Agentic Obsidian Vault-Agentic-dissertation,ProfileSync,claude-fable-5,23,2385211,19443,12,0,0,681,10.5
-Code-ChessBot,release-records,gpt-6-astra,35,2382509,17762,19,2,0,2030,11.5
-Code-ChessBot,EnrichV2,claude-opus-5,44,2357064,18353,4,1,0,4951,12.8
-Code-ChessBot-worktrees-campaign-2800,ClockFixDesign,claude-opus-5,30,2282488,66210,4,1,0,18541,13.5
-Code-ChessBot,SearchReview,claude-opus-5,26,2276653,40541,7,0,0,18,9.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ClaimsAndEvidence,gpt-5.6-terra,27,2268202,9268,16,0,0,23458,4.7
-Code-PokerBot,R40Replay,claude-opus-5,40,2258685,31671,3,0,0,3038,15.0
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReadBibC2,claude-opus-5,20,2251060,21414,8,0,0,2613,8.0
-Code-Trades,IdentifyPaperJul18,gpt-5.6-terra,44,2245743,20118,17,2,1,61,15.8
-Code-Trades,IdentifyPaperJul13,gpt-5.6-terra,33,2245178,10090,15,2,1,1204,6.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,MockRegister,claude-fable-5-1,34,2235239,19254,5,1,0,1510,4.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ChapterOnePipeline,claude-opus-5,19,2217465,27049,24,6,7,27935,3.2
-Code-Trades,IdentifyPaperJul19,gpt-5.6-terra,47,2212251,21222,16,2,2,52,15.8
-Code-ChessBot,verifydecision,claude-opus-5,30,2204382,48201,3,0,0,15245,8.6
-Code-ChessBot,LossEvidence,claude-opus-5,24,2200499,26642,14,0,0,1563,6.7
-Code-Trades,VisibleChainAudit,gpt-5.6-terra,53,2185818,10017,8,1,0,12878,3.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ProofAudit,claude-opus-5,23,2178946,78366,7,3,0,22452,19.6
-Code-ChessBot,VerifierProtocol,claude-opus-5,22,2178208,29953,20,1,2,26054,3.9
-Code-ChessBot,OnlineResearchMigrate,gpt-5.6-terra,41,2169695,15528,7,0,0,6554,6.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC8,claude-opus-5,28,2169243,52143,7,0,0,23810,14.2
-Code-Trades,MemoEvidenceReview,claude-fable-5,25,2163395,31285,17,5,2,668,9.4
-Code-ChessBot,ResearchTriage,claude-opus-5,18,2154419,19292,2,0,0,2681,4.5
-Code-ChessBot,ReviewTime,claude-fable-5-1,32,2144640,16378,7,0,0,2180,4.1
-Code-PokerBot,SeriesTool,claude-opus-5,32,2141148,22634,6,0,0,762,8.7
-Code-Trades,RepoSurfaceScout,gpt-5.6-terra,35,2138178,6373,17,0,0,11318,2.3
-Code-ChessBot,NullMoveLMR,claude-fable-5-1,31,2120737,22052,2,0,0,4486,53.9
-Code-ChessBot,StarterKitRecon,claude-opus-5,30,2112648,33435,11,0,2,20534,5.9
-Code-ChessBot,ReviewNNUE,claude-fable-5,27,2076093,31781,12,1,2,32,7.4
-Code-PokerBot,IdentityForecast,claude-opus-5,33,2072970,20528,3,0,0,1071,9.0
-Code-Trades,IdentifyPaperJul15,gpt-5.6-terra,41,2067288,11662,22,2,1,1292,7.9
-Code-ChessBot,EndgameFix,gpt-5.6-sol,43,2066077,20116,11,0,1,8635,5.9
-Code-Trades,A67Trace,gpt-5.6-terra,24,2064461,7083,11,6,0,3535,3.5
-Code-ChessBot,ReviewHarness,claude-fable-5,27,2058535,36083,9,0,0,32,8.7
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,LitDifferentiator,gpt-5.6-terra,31,2053538,8555,16,0,0,18598,9.4
-Code-ChessBot,IssueAudit,claude-opus-5,19,2052082,39816,8,2,0,19270,6.2
-Code-ChessBot,QReceiptAudit,claude-opus-5,28,2038268,24807,19,2,0,23396,3.9
-Code-ChessBot,EnrichV3,claude-opus-5,32,2023712,18483,3,1,0,2168,34.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Tier1Sweep,gpt-5.6-terra,21,2018279,7126,10,1,1,9450,4.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,SiteMapper,gpt-5.6-terra,21,2013277,5951,14,1,0,17444,1.3
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,GoalRunAudit,gpt-5.6-terra,45,2002607,11410,38,0,1,21593,3.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ScreenC2,claude-opus-5,25,1999610,43499,6,0,0,22116,19.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,DiscussionAssessment,claude-opus-5,17,1996502,31786,11,3,4,14799,5.6
-Code-Agentic Obsidian Vault-Agentic-dissertation,SupervisorInit,claude-fable-5,17,1996241,16919,12,0,1,1843,4.4
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,adjudicate,claude-fable-5,23,1989082,31862,7,2,0,1079,7.4
-Code-ChessBot,DepthS04,claude-opus-5,28,1987004,32209,4,0,0,5150,7.0
-Code-ChessBot,DepthS06,claude-opus-5,28,1981604,31276,9,0,0,3034,6.8
-Code-ChessBot,ComputeDigest,claude-opus-5,27,1977649,30196,17,1,3,10389,5.6
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ReproValidity,claude-opus-5,27,1973600,39409,12,3,0,8231,9.3
-Code-omp-harness,DissV2Scout,gpt-5.6-terra,46,1959719,17040,9,0,3,12768,5.1
-Code-ChessBot,HarvestRoundFix,claude-opus-5,34,1957562,17134,3,0,0,3023,4.0
-Code-ChessBot,SequentialStats,claude-opus-5,28,1938721,33780,4,2,4,8021,6.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ExemplarScout,gpt-5.6-terra,30,1935177,10837,5,0,0,5035,5.6
-Code-Agentic Obsidian Vault-Agentic-dissertation,ChapterMapper,gpt-5.6-terra,24,1931768,7424,10,0,0,11353,1.9
-Code-ChessBot,ResearchHetznerCPU,gpt-5.6-terra,32,1919361,7525,15,0,0,8559,5.0
-Code-ChessBot,ResearchSmoke,claude-fable-5-1,24,1896673,14939,10,0,0,3810,4.3
-Code-ChessBot-worktrees-campaign-2800,VerifierArena,claude-opus-5,19,1890802,16415,15,0,0,16871,1.9
-Code-ChessBot,LoopSeamMap,gpt-5.6-terra,35,1881650,10753,19,0,0,23619,2.2
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RetiredAndRejected,gpt-5.6-terra,26,1881067,13856,4,0,0,20633,3.0
-Code-ChessBot,ResearchAWSCPU,gpt-5.6-terra,37,1879275,7464,12,0,0,6149,6.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ThesisClaimsScout,gpt-5.6-terra,35,1873832,18430,10,0,0,30198,4.8
-Code-ChessBot,BreadthS01,gpt-6-astra,37,1864995,5172,16,1,0,1694,7.4
-Code-ChessBot,CalibStats,claude-fable-5,21,1854322,45645,7,4,0,3578,153.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,Ch3AppendixGateFix,claude-fable-5-1,28,1851957,13925,3,0,0,4030,2.9
-Code-ChessBot,CloseoutStatusDocs,claude-opus-5,27,1846637,16651,7,0,0,4823,3.7
-Code-Agentic Obsidian Vault-Agentic-dissertation,ConvolutionReview,claude-fable-5,22,1840173,49773,6,0,0,2752,108.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,RejectionAudit,gpt-5.6-terra,26,1831674,9456,16,0,0,21501,1.9
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ChartPrinciples,claude-opus-5,19,1827461,13876,5,2,0,2907,3.3
-Code-ChessBot,DepthS08,claude-opus-5,27,1823519,24245,2,0,0,3250,6.1
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,ThesisContent,gpt-5.6-terra,20,1820072,4391,9,0,0,7733,1.5
-Code-Agentic Obsidian Vault-Agentic-dissertation-v2,sched-fix,gpt-5.6-terra,54,1817940,9643,2,0,0,740,6.1
